input,output,metadata
"[pagina 1]
apunte semana 10 clase ii inteligencia artificialclase
del 30 de abril de 2026
alexander brenes garita
carnet: 2018191805
curso: inteligencia artificial
i semestre 2026
i. introducción
la clase del 30 de abril de 2026 correspondió a la contin-
uación del tema de funciones de activación y a la introducción
formal de las redes neuronales convolucionales (cnn, por sus
siglas en inglés). el profesor retomó los problemas derivados
del uso de la función relu estándar y propuso solucionesmás
sofisticadas, para luego hacer la transición hacia las cnn,
motivando su uso con las limitaciones de las redesfully-
connectedal procesar imágenes.
ii. funciones deactivaciónavanzadas
a. problema de neuronas muertas en relu
la función relu (rectified linear unit) presenta un",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 1, ""total_chunks"": 19}"
"ii. funciones deactivaciónavanzadas
a. problema de neuronas muertas en relu
la función relu (rectified linear unit) presenta un
problema conocido como “neuronas muertas”: cuando el
valor de activación es menor o igual a cero, la derivada es
exactamente cero. esto impide que el gradiente fluya hacia
atrás durante la retropropagación, bloqueando el aprendizaje
de esa neurona de forma permanente. formalmente:
relu(x) = max(0, x), d
dxrelu(x) =
1x >0
0x≤0 (1)
cuando x≤0 , la derivada es cero y la neurona deja de
actualizar sus pesos.
b. leaky relu
la primera solución propuesta esleaky relu, que sustituye
el cero de la parte negativa por una pendiente constante
pequeña:
leaky relu(x) =
x x >0
0.01·x x≤0 (2)
esta pendiente (0.01) evita que la derivada sea cero, permi-",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 2, ""total_chunks"": 19}"
"pequeña:
leaky relu(x) =
x x >0
0.01·x x≤0 (2)
esta pendiente (0.01) evita que la derivada sea cero, permi-
tiendo que el gradiente fluya siempre. sin embargo, el valor
0.01 es fijo y puede no seróptimo para todos los problemas.
c. parametric relu (prelu)
para resolver la limitación de leaky relu, se introduce
parametric relu(prelu), donde la pendiente α no es un
hiperparámetro fijo sino unparámetro aprendible:
prelu(x) =
x x >0
α·x x≤0 (3)
el valor de α se aprende durante el entrenamiento mediante
retropropagación, junto con los demás pesos de la red. esto
agrega un parámetro adicional por neurona, aumentando la
complejidad del modelo, pero mejorando el rendimiento.
recomendaciones del profesor sobre funciones de acti-
vación:
• evitar sigmoid y tanh en capas ocultas debido al problema",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 3, ""total_chunks"": 19}"
"recomendaciones del profesor sobre funciones de acti-
vación:
• evitar sigmoid y tanh en capas ocultas debido al problema
devanishing gradienten sus extremos.
• comenzar siempre con relu en capas ocultas como punto
de partida.
• si relu no es suficiente, probar leaky relu o prelu.
• para regresión: no usar función de activación en la capa
de salida.
d. función softmax y cross-entropy
para problemas de clasificación multiclase, la capa de salida
utiliza la funciónsoftmax, que convierte loslogits zi en
probabilidades:
softmax(zi) = ezi
j=1 ezj
donde k es elnúmero de clases. la salida es un vector de
probabilidades que suma 1, que se puede comparar directamente
con la etiqueta real (representada comoone-hot vector).
la función depérdida asociada es lacross-entropy:
yi log(ˆyi)(5)",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 4, ""total_chunks"": 19}"
"con la etiqueta real (representada comoone-hot vector).
la función depérdida asociada es lacross-entropy:
yi log(ˆyi)(5)
se usae x por la misma razón que en otros contextos (e.g.,
similitud coseno): es estrictamente creciente y facilita las
transformaciones matemáticas durante la diferenciación.
iii. motivación para lasredesconvolucionales
a. limitaciones de las redes fully-connected con imágenes
las redes completamente conectadas (fc) tratan cadapíxel
como una entrada independiente. para una imagen de 32×32×3
(como cifar-10):
parámetros solo en capa de entrada= 32×32×3 = 3,072
para imágenes de 200×200 , solo la primera capa conex-
ión tiene ∼120,000 parámetros. añadir capas ocultas llevarápidamente a millones de parámetros, lo que provoca:
[pagina 2]",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 5, ""total_chunks"": 19}"
"ión tiene ∼120,000 parámetros. añadir capas ocultas llevarápidamente a millones de parámetros, lo que provoca:
[pagina 2]
• mayor tiempo de entrenamiento ymásépocas requeridas.
•mayor cantidad de datos necesaria.
• sensibilidad a la posición del objeto en la imagen (si el
patrón se desplaza, la red falla).
• rendimiento inferior comparado con arquitecturas espe-
cializadas.
b. el problema de la invarianza posicional
si una imagen de un “3” está centrada, la red aprende
esa secuencia específica depíxeles. si el mismo “3” aparece
desplazado, la red no lo reconoce. para compensar, se usantécnicas dedata augmentation(rotaciones, traslaciones, etc.),
pero estas no resuelven el problema de fondo de la ineficiencia
paramétrica.
iv. redesneuronalesconvolucionales(cnn)
a. arquitectura general",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 6, ""total_chunks"": 19}"
"pero estas no resuelven el problema de fondo de la ineficiencia
paramétrica.
iv. redesneuronalesconvolucionales(cnn)
a. arquitectura general
una cnn organiza sus neuronas en tres dimensiones: ancho,
largo y profundidad. su arquitecturatípica consiste en la
repetición de tres tipos de capas:
1) convolutional layer: extrae características locales de
la imagen mediante kernels deslizantes.
2) pooling layer: reduce la resolución espacial (down-
sampling) para condensar la información.
3) fully-connected layer: clasifica usando el vector de
características resultante.
las dos primeras forman el bloque deextracción de
características, y la tercera actúa como clasificador.
b. capa convolucional
1) kernels y mapas de activación:unkernel(o filtro) es",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 7, ""total_chunks"": 19}"
"características, y la tercera actúa como clasificador.
b. capa convolucional
1) kernels y mapas de activación:unkernel(o filtro) es
una pequeña matriz de pesos que se desliza sobre la imagen
realizando productos punto en cada posición. para una imagen
en color (3 canales), el kernel tiene dimensión k×k×c in,
dondec in es elnúmero de canales de entrada.
el resultado de aplicar el kernel es unmapa de activación
(feature map). si se tienen n kernels distintos, la capa produce
n mapas de activación apilados, que constituyen la profundidad
de la capa siguiente.
2) pesos compartidos:a diferencia de las capas fc, en la
convolución los mismos pesos del kernel se reutilizan en toda
la imagen. esto reducedrásticamente elnúmero de parámetros.
por ejemplo, un filtro de 5×5×3 tiene solo75 parámetros,",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 8, ""total_chunks"": 19}"
"la imagen. esto reducedrásticamente elnúmero de parámetros.
por ejemplo, un filtro de 5×5×3 tiene solo75 parámetros,
independientemente del tamaño de la imagen.
3) stride:elstride s indica cuántospíxeles se desplaza el
kernel en cada paso. un stride de 1 produce mapas grandes;
un stride mayor reduce la resolución de salida. la dimensión
resultante después de una convolución es:
dout =
 m−k+ 2p
+ 1(7)
donde m es el tamaño de la imagen de entrada, k el tamaño
del kernel,pel padding ysel stride.
4) padding:elpadding p agregapíxeles (generalmente
ceros) alrededor de la imagen de entrada para controlar el
tamaño de la salida. para preservar exactamente las dimensiones
de la entrada (same padding):
p= k−1
sin padding (valid padding), la salida esmás pequeña que",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 9, ""total_chunks"": 19}"
"de la entrada (same padding):
p= k−1
sin padding (valid padding), la salida esmás pequeña que
la entrada, lo que puede dificultar el diseño de arquitecturas
profundas.
5) no-linealidad:después de cada convolución se aplica
una función de activación no lineal (generalmente relu). esto
es esencial para que la red pueda aprender representaciones
no lineales:
salida=relu(w∗x+b)(9)
donde∗denota la operación de convolución.
c. campo receptivo
elcampo receptivo(receptive field) es la región de la
imagen de entrada que influye en una neurona particular.
en capas tempranas el campo receptivo es pequeño (detalles
locales como bordes y colores); en capas profundas es mayor
(características de alto nivel). esto es análogo acómo funciona
el sistema visual de los mamíferos.
d. tipos de filtros",,"{""semana"": 10, ""fecha"": null, ""nombre_archivo"": ""10_SEMANA_AI_2018191805_2.pdf"", ""autor"": ""Alexander Brenes Garita"", ""tema_principal"": ""I. INTRODUCCIÓN"", ""secciones"": ""I. INTRODUCCIÓN, II. FUNCIONES DEACTIVACIÓNAVANZADAS, C. Parametric ReLU (PReLU), D. Función Softmax y Cross-Entropy, III. MOTIVACIÓN PARA LASREDESCONVOLUCIONALES"", ""chunk_numero"": 10, ""total_chunks"": 19}"
